City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
"PRINCE WILLIAM COUNTY, VA","87,421.62","87,421.62","87,421.62"
PROVIDENCE,"102,000.00","102,000.00","102,000.00"
PROVO,"60,000.00","60,000.00","60,000.00"
PULLMAN WASHINGTON,839.00,839.00,839.00
PUNE,"15,694.62","9,910.25","21,479.00"
PUYALLUP,"60,000.00","60,000.00","60,000.00"
QC,"36,250.00","36,250.00","36,250.00"
QUAKERTOWN,"99,540.00","99,540.00","99,540.00"
QUEBEC,"37,825.00","37,650.00","38,000.00"
QUEBEC CITY,"57,500.00","54,000.00","61,000.00"
QUERETARO,"15,000.00","15,000.00","15,000.00"
QUITO,"11,000.00","11,000.00","11,000.00"
RALEIGH,"96,622.50","53,000.00","160,000.00"
RALEIGH / DURHAM,"46,000.00","46,000.00","46,000.00"
"RALEIGH, NC","54,000.00","54,000.00","54,000.00"
READING,"72,558.18","43,680.00","160,000.00"
"RED BANK, NJ","68,000.00","68,000.00","68,000.00"
RED DEER,"46,175.00","30,350.00","62,000.00"
REDMOND,"127,033.33","50,000.00","265,300.00"
"REDMOND, WA","138,000.00","80,000.00","196,000.00"
"REDMOND, WASHINGTON","141,000.00","141,000.00","141,000.00"
REDWOOD CITY,"87,000.00","87,000.00","87,000.00"
"REDWOOD CITY, CA","162,900.00","162,900.00","162,900.00"
REGINA,"61,870.00","61,870.00","61,870.00"
REINBECK,"56,000.00","56,000.00","56,000.00"
REMOTE,"114,092.00","76,000.00","180,000.00"
RENNES,"59,000.00","59,000.00","59,000.00"
RENO,"97,188.00","97,188.00","97,188.00"
RESTON,"105,000.00","105,000.00","105,000.00"
RESTON VA,"240,000.00","240,000.00","240,000.00"
"RESTON, VA","120,000.00","95,000.00","142,000.00"
REYKJAVÍK,"54,000.00","54,000.00","54,000.00"
"RICE LAKE, WI","55,000.00","55,000.00","55,000.00"
RICHMOND,"90,256.25","30,000.00","160,000.00"
"RICHMOND, VA","66,220.00","52,500.00","92,000.00"
RICHMONF,"60,000.00","60,000.00","60,000.00"
RIDGEFIELD,"78,000.00","78,000.00","78,000.00"
ROANOKE,"52,750.00","46,500.00","59,000.00"
ROCHESTER,"65,210.00","55,420.00","75,000.00"
ROCHESTER NY,"46,000.00","46,000.00","46,000.00"
"ROCHESTER, NY","65,469.33","51,000.00","78,408.00"
ROCKFORD,"65,900.00","65,900.00","65,900.00"
"ROCKFORD, IL","87,800.00","87,800.00","87,800.00"
ROCKLEDGE,"55,000.00","55,000.00","55,000.00"
ROCKVILLE,"148,000.00","148,000.00","148,000.00"
"ROCKVILLE, MD","271,525.33",76.00,"703,000.00"
ROMANDIE,"68,000.00","68,000.00","68,000.00"
ROME,"37,750.00","35,000.00","40,500.00"
ROSENHEIM,"50,000.00","50,000.00","50,000.00"
ROTTERDAM,"55,118.00","34,000.00","68,500.00"
ROUND ROCK,"125,000.00","125,000.00","125,000.00"
"ROUND ROCK, TX","53,000.00","53,000.00","53,000.00"
"RTP, NC","132,000.00","132,000.00","132,000.00"
RURAL IOWA,"93,000.00","93,000.00","93,000.00"
SA,"54,000.00","54,000.00","54,000.00"
SAARBRÜCKEN,"57,000.00","57,000.00","57,000.00"
SACRAMENTO,"98,750.25","53,000.00","180,000.00"
SAINT-PETERSBURG,"17,400.00","11,000.00","23,800.00"
SAINT LOUIS,"99,000.00","58,000.00","140,000.00"
SAINT PAUL,"115,000.00","115,000.00","115,000.00"
SAINT PETERSBURG,"35,870.00","23,000.00","46,010.00"
SALEM,"71,090.00","53,500.00","88,680.00"
"SALEM, MA","103,000.00","103,000.00","103,000.00"
SALFORD,"24,328.65","24,328.65","24,328.65"
"SALISBURY, MD","42,000.00","42,000.00","42,000.00"
SALT LAKE,"136,700.00","136,700.00","136,700.00"
SALT LAKE CITY,"82,150.00","6,400.00","175,000.00"
SAN ANTONIO,"89,750.00","40,000.00","120,000.00"
"SAN ANTONIO, TX","112,000.00","112,000.00","112,000.00"
"SAN CLEMENTE, CA","68,500.00","68,500.00","68,500.00"
SAN DIEGO,"103,805.13","35,300.00","245,000.00"
"SAN DIEGO, CA","206,000.00","206,000.00","206,000.00"
SAN FRANCISCO,"323,443.78","20,145.00","4,210,000.00"
SAN FRANCISCO BAY AREA,"146,733.33","78,000.00","210,000.00"
"SAN FRANCISCO, CA","115,100.00","115,100.00","115,100.00"
SAN FRANCSICO,"139,100.00","139,100.00","139,100.00"
SAN FRANSISCO,"135,000.00","135,000.00","135,000.00"
SAN JOSE,"93,166.67","80,000.00","119,500.00"
"SAN JOSE, CA","151,000.00","151,000.00","151,000.00"
SAN LEANDRO,"87,500.00","87,500.00","87,500.00"
SAN LUIS OBISPO,"57,763.75","50,400.00","70,000.00"
"SAN LUIS OBISPO, CA","96,740.00","96,740.00","96,740.00"
"SAN MATEO, CA","186,000.00","186,000.00","186,000.00"
"SAN RAMON, CA","136,250.00","136,250.00","136,250.00"
SANTA BARBARA,"88,350.00","72,700.00","104,000.00"
SANTA CLARA,"146,400.00","55,200.00","222,000.00"
"SANTA CLARITA, CA","35,000.00","35,000.00","35,000.00"
"SANTA FE, NM","65,000.00","65,000.00","65,000.00"
SANTA MONICA,"146,333.33","120,000.00","188,000.00"
SANTA ROSA,"58,000.00","58,000.00","58,000.00"
"SANTA ROSA, CA","130,000.00","130,000.00","130,000.00"
SANTIAGO,"37,593.00","37,593.00","37,593.00"
SANTO DOMINGO,"2,300.00","2,300.00","2,300.00"
SÃO PAULO,"18,935.00","6,300.00","36,000.00"
SARAJEVO,"9,000.00","9,000.00","9,000.00"
SARASOTA,"250,000.00","250,000.00","250,000.00"
"SARASOTA, FL","85,000.00","85,000.00","85,000.00"
SAT,"68,000.00","68,000.00","68,000.00"
SAVANNAH,"62,500.00","49,000.00","76,000.00"
SCHIPHOL,43.00,43.00,43.00
SCOTTSDALE,"90,100.00","62,000.00","110,000.00"
"SCOTTSDALE, AZ","50,670.00","50,670.00","50,670.00"
SEATTLE,"143,133.11","30,720.00","500,000.00"
SEATTLE (ISSAQUAH),"57,000.00","57,000.00","57,000.00"
"SEATTLE, WA","137,705.40","88,927.00","200,000.00"
"SEATTLE, WASHINGTON","378,000.00","378,000.00","378,000.00"
SEBRING,"65,300.00","65,300.00","65,300.00"
SF,"150,000.00","150,000.00","150,000.00"
SF BAY AREA,"115,000.00","90,000.00","140,000.00"
SHEFFIELD,"43,472.20","37,511.00","49,433.40"
SHELBYVILLE,"55,000.00","55,000.00","55,000.00"
SHREVEPORT,"79,550.00","54,100.00","105,000.00"
SHREWSBURY,"36,200.00","36,200.00","36,200.00"
SINGAPORE,"110,000.00","100,000.00","120,000.00"
SION,"72,500.00","72,500.00","72,500.00"
SIOUX CITY,"50,000.00","50,000.00","50,000.00"
"SMITHFIELD, VA","41,860.00","41,860.00","41,860.00"
"SOMERSET, NJ","41,250.00","28,500.00","54,000.00"
SOMERVILLE,"180,000.00","180,000.00","180,000.00"
SOPHIA-ANTIPOLIS,"47,290.00","47,290.00","47,290.00"
SOUTH BEND,"59,750.00","52,500.00","67,000.00"
"SOUTH BEND, IN","50,000.00","50,000.00","50,000.00"
SOUTH CENTRAL TX,"172,000.00","172,000.00","172,000.00"
SOUTH WESTERN ONTARIO,"47,000.00","47,000.00","47,000.00"
SOUTHAMPTON,"52,953.00","52,953.00","52,953.00"
SOUTHEASTERN US,"110,000.00","110,000.00","110,000.00"
SOUTHEND ON SEA,"53,804.93","53,804.93","53,804.93"
SOUTHFIELD,"80,000.00","80,000.00","80,000.00"
"SOUTHFIELD, MI","72,000.00","72,000.00","72,000.00"
SPOKANE,"71,037.50","38,300.00","120,000.00"
SPRING LAKE PARK,"74,000.00","74,000.00","74,000.00"
SPRINGFIELD,"42,500.00","42,500.00","42,500.00"
"SPRINGFIELD, MA",67.00,67.00,67.00
"SPRINGFIELD, MO","67,500.00","65,000.00","70,000.00"
